"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","X"
"23","1/2/2007","00:22:00","0.298","0.094","242.470","1.200","0.000","0.000",0,0.0159722222222222
"24","1/2/2007","00:23:00","0.296","0.094","242.320","1.200","0.000","0.000",0,0.0166666666666667
"25","1/2/2007","00:24:00","0.296","0.096","242.980","1.200","0.000","0.000",0,0.0173611111111111
"26","1/2/2007","00:25:00","0.298","0.100","243.650","1.200","0.000","0.000",0,0.0180555555555556
"27","1/2/2007","00:26:00","0.228","0.000","243.550","1.000","0.000","0.000",0,0.01875
"28","1/2/2007","00:27:00","0.226","0.000","243.110","1.000","0.000","0.000",0,0.0194444444444444
"29","1/2/2007","00:28:00","0.226","0.000","243.090","1.000","0.000","0.000",0,0.0201388888888889
"30","1/2/2007","00:29:00","0.226","0.000","243.050","1.000","0.000","0.000",0,0.0208333333333333
"31","1/2/2007","00:30:00","0.226","0.000","243.220","1.000","0.000","0.000",0,0.0215277777777778
"32","1/2/2007","00:31:00","0.226","0.000","243.370","1.000","0.000","0.000",0,0.0222222222222222
"33","1/2/2007","00:32:00","0.226","0.000","243.140","1.000","0.000","0.000",0,0.0229166666666667
"34","1/2/2007","00:33:00","0.226","0.000","243.120","1.000","0.000","0.000",0,0.0236111111111111
"35","1/2/2007","00:34:00","0.322","0.094","242.740","1.400","0.000","0.000",0,0.0243055555555556
"36","1/2/2007","00:35:00","0.336","0.126","242.590","1.400","0.000","0.000",0,0.025
"37","1/2/2007","00:36:00","0.332","0.126","242.910","1.400","0.000","0.000",0,0.0256944444444444
"38","1/2/2007","00:37:00","0.332","0.130","243.510","1.400","0.000","0.000",0,0.0263888888888889
"39","1/2/2007","00:38:00","0.330","0.130","243.650","1.400","0.000","0.000",0,0.0270833333333333
"40","1/2/2007","00:39:00","0.328","0.128","243.370","1.400","0.000","0.000",0,0.0277777777777778
"41","1/2/2007","00:40:00","0.328","0.130","243.790","1.400","0.000","0.000",0,0.0284722222222222
"42","1/2/2007","00:41:00","0.326","0.128","243.230","1.400","0.000","0.000",0,0.0291666666666667
"43","1/2/2007","00:42:00","0.324","0.126","242.980","1.400","0.000","0.000",0,0.0298611111111111
"44","1/2/2007","00:43:00","0.322","0.126","242.950","1.400","0.000","0.000",0,0.0305555555555556
"45","1/2/2007","00:44:00","0.322","0.124","242.600","1.400","0.000","0.000",0,0.03125
"46","1/2/2007","00:45:00","0.322","0.128","243.330","1.400","0.000","0.000",0,0.0319444444444444
"47","1/2/2007","00:46:00","0.318","0.118","241.320","1.400","0.000","0.000",0,0.0326388888888889
"48","1/2/2007","00:47:00","0.316","0.116","240.930","1.400","0.000","0.000",0,0.0333333333333333
"49","1/2/2007","00:48:00","0.316","0.116","240.930","1.400","0.000","0.000",0,0.0340277777777778
"50","1/2/2007","00:49:00","0.274","0.058","240.360","1.200","0.000","0.000",0,0.0347222222222222
"51","1/2/2007","00:50:00","0.222","0.000","240.930","1.000","0.000","0.000",0,0.0354166666666667
"52","1/2/2007","00:51:00","0.222","0.000","240.830","1.000","0.000","0.000",0,0.0361111111111111
"53","1/2/2007","00:52:00","0.222","0.000","240.520","1.000","0.000","0.000",0,0.0368055555555556
"54","1/2/2007","00:53:00","0.224","0.000","241.450","1.000","0.000","0.000",0,0.0375
"55","1/2/2007","00:54:00","0.224","0.000","241.590","1.000","0.000","0.000",0,0.0381944444444444
"56","1/2/2007","00:55:00","0.226","0.000","242.550","1.000","0.000","0.000",0,0.0388888888888889
"57","1/2/2007","00:56:00","0.226","0.000","242.880","1.000","0.000","0.000",0,0.0395833333333333
"58","1/2/2007","00:57:00","0.226","0.000","242.630","1.000","0.000","0.000",0,0.0402777777777778
"59","1/2/2007","00:58:00","0.224","0.000","242.200","1.000","0.000","0.000",0,0.0409722222222222
"60","1/2/2007","00:59:00","0.224","0.000","241.840","1.000","0.000","0.000",0,0.0416666666666667
"61","1/2/2007","01:00:00","0.222","0.000","240.890","1.000","0.000","0.000",0,0.0423611111111111
"62","1/2/2007","01:01:00","0.222","0.000","240.860","1.000","0.000","0.000",0,0.0430555555555556
"63","1/2/2007","01:02:00","0.260","0.000","240.640","1.200","0.000","0.000",0,0.04375
"64","1/2/2007","01:03:00","0.298","0.088","240.720","1.200","0.000","0.000",0,0.0444444444444444
"65","1/2/2007","01:04:00","0.302","0.094","242.180","1.200","0.000","0.000",0,0.0451388888888889
"66","1/2/2007","01:05:00","0.302","0.096","242.660","1.200","0.000","0.000",0,0.0458333333333333
"67","1/2/2007","01:06:00","0.302","0.096","242.770","1.200","0.000","0.000",0,0.0465277777777778
"68","1/2/2007","01:07:00","0.300","0.096","242.600","1.200","0.000","0.000",0,0.0472222222222222
"69","1/2/2007","01:08:00","0.298","0.094","242.380","1.200","0.000","0.000",0,0.0479166666666667
"70","1/2/2007","01:09:00","0.298","0.094","242.210","1.200","0.000","0.000",0,0.0486111111111111
"71","1/2/2007","01:10:00","0.296","0.096","242.610","1.200","0.000","0.000",0,0.0493055555555556
"72","1/2/2007","01:11:00","0.296","0.094","242.240","1.200","0.000","0.000",0,0.05
"73","1/2/2007","01:12:00","0.258","0.000","242.660","1.000","0.000","0.000",0,0.0506944444444444
"74","1/2/2007","01:13:00","0.226","0.000","242.990","1.000","0.000","0.000",0,0.0513888888888889
"75","1/2/2007","01:14:00","0.228","0.000","243.530","1.000","0.000","0.000",0,0.0520833333333333
"76","1/2/2007","01:15:00","0.316","0.088","243.120","1.400","0.000","0.000",0,0.0527777777777778
"77","1/2/2007","01:16:00","0.434","0.252","242.830","2.200","0.000","0.000",0,0.0534722222222222
"78","1/2/2007","01:17:00","0.418","0.254","243.080","2.000","0.000","2.000",0,0.0541666666666667
"79","1/2/2007","01:18:00","0.414","0.254","243.350","2.000","0.000","1.000",0,0.0548611111111111
"80","1/2/2007","01:19:00","0.412","0.252","242.710","2.000","0.000","1.000",0,0.0555555555555556
"81","1/2/2007","01:20:00","0.410","0.246","241.630","2.000","0.000","2.000",0,0.05625
"82","1/2/2007","01:21:00","0.408","0.246","241.860","2.000","0.000","1.000",0,0.0569444444444444
"83","1/2/2007","01:22:00","0.408","0.248","242.170","2.000","0.000","2.000",0,0.0576388888888889
"84","1/2/2007","01:23:00","0.404","0.244","241.700","2.000","0.000","1.000",0,0.0583333333333333
"85","1/2/2007","01:24:00","0.402","0.242","241.140","1.800","0.000","1.000",0,0.0590277777777778
"86","1/2/2007","01:25:00","0.402","0.244","241.410","1.800","0.000","2.000",0,0.0597222222222222
"87","1/2/2007","01:26:00","0.402","0.246","241.950","1.800","0.000","1.000",0,0.0604166666666667
"88","1/2/2007","01:27:00","0.402","0.248","242.360","1.800","0.000","2.000",0,0.0611111111111111
"89","1/2/2007","01:28:00","0.402","0.250","242.600","1.800","0.000","1.000",0,0.0618055555555556
"90","1/2/2007","01:29:00","0.398","0.246","242.110","1.800","0.000","1.000",0,0.0625
"91","1/2/2007","01:30:00","0.336","0.156","241.880","1.600","0.000","2.000",0,0.0631944444444444
"92","1/2/2007","01:31:00","0.300","0.104","240.780","1.200","0.000","1.000",0,0.0638888888888889
"93","1/2/2007","01:32:00","0.300","0.104","240.680","1.200","0.000","1.000",0,0.0645833333333333
"94","1/2/2007","01:33:00","0.300","0.106","240.870","1.200","0.000","2.000",0,0.0652777777777778
"95","1/2/2007","01:34:00","0.298","0.106","241.000","1.200","0.000","1.000",0,0.0659722222222222
"96","1/2/2007","01:35:00","0.298","0.106","240.970","1.200","0.000","1.000",0,0.0666666666666667
"97","1/2/2007","01:36:00","0.298","0.106","241.090","1.200","0.000","1.000",0,0.0673611111111111
"98","1/2/2007","01:37:00","0.298","0.106","241.100","1.200","0.000","2.000",0,0.0680555555555555
"99","1/2/2007","01:38:00","0.298","0.106","241.210","1.200","0.000","1.000",0,0.06875
"100","1/2/2007","01:39:00","0.296","0.106","241.270","1.200","0.000","1.000",0,0.0694444444444444
"101","1/2/2007","01:40:00","0.296","0.108","241.400","1.200","0.000","1.000",0,0.0701388888888889
"102","1/2/2007","01:41:00","0.296","0.108","241.610","1.200","0.000","1.000",0,0.0708333333333333
"103","1/2/2007","01:42:00","0.296","0.106","241.370","1.200","0.000","2.000",0,0.0715277777777778
"104","1/2/2007","01:43:00","0.294","0.106","240.990","1.200","0.000","1.000",0,0.0722222222222222
"105","1/2/2007","01:44:00","0.294","0.106","241.270","1.200","0.000","1.000",0,0.0729166666666667
"106","1/2/2007","01:45:00","0.242","0.000","241.260","1.000","0.000","0.000",0,0.0736111111111111
"107","1/2/2007","01:46:00","0.224","0.000","241.760","1.000","0.000","0.000",0,0.0743055555555556
"108","1/2/2007","01:47:00","0.224","0.000","242.380","1.000","0.000","0.000",0,0.075
"109","1/2/2007","01:48:00","0.224","0.000","242.150","1.000","0.000","0.000",0,0.0756944444444444
"110","1/2/2007","01:49:00","0.288","0.050","241.690","1.400","0.000","0.000",0,0.0763888888888889
"111","1/2/2007","01:50:00","0.298","0.088","241.020","1.200","0.000","0.000",0,0.0770833333333333
"112","1/2/2007","01:51:00","0.298","0.088","240.750","1.200","0.000","0.000",0,0.0777777777777778
"113","1/2/2007","01:52:00","0.298","0.088","241.060","1.200","0.000","0.000",0,0.0784722222222222
"114","1/2/2007","01:53:00","0.300","0.090","241.570","1.200","0.000","0.000",0,0.0791666666666667
"115","1/2/2007","01:54:00","0.300","0.094","242.290","1.200","0.000","0.000",0,0.0798611111111111
"116","1/2/2007","01:55:00","0.300","0.096","242.770","1.200","0.000","0.000",0,0.0805555555555556
"117","1/2/2007","01:56:00","0.386","0.190","242.480","1.800","0.000","0.000",0,0.08125
"118","1/2/2007","01:57:00","0.406","0.228","242.240","1.800","0.000","0.000",0,0.0819444444444444
"119","1/2/2007","01:58:00","0.398","0.222","242.110","1.800","0.000","0.000",0,0.0826388888888889
"120","1/2/2007","01:59:00","0.326","0.116","240.550","1.400","0.000","0.000",0,0.0833333333333333
"121","1/2/2007","02:00:00","0.324","0.116","240.330","1.400","0.000","0.000",0,0.0840277777777778
"122","1/2/2007","02:01:00","0.328","0.126","242.570","1.400","0.000","0.000",0,0.0847222222222222
"123","1/2/2007","02:02:00","0.328","0.130","243.120","1.400","0.000","0.000",0,0.0854166666666667
"124","1/2/2007","02:03:00","0.326","0.128","243.050","1.400","0.000","0.000",0,0.0861111111111111
"125","1/2/2007","02:04:00","0.324","0.128","243.090","1.400","0.000","0.000",0,0.0868055555555556
"126","1/2/2007","02:05:00","0.322","0.124","242.070","1.400","0.000","0.000",0,0.0875
"127","1/2/2007","02:06:00","0.322","0.124","242.210","1.400","0.000","0.000",0,0.0881944444444445
"128","1/2/2007","02:07:00","0.322","0.126","242.470","1.400","0.000","0.000",0,0.0888888888888889
"129","1/2/2007","02:08:00","0.322","0.126","242.570","1.400","0.000","0.000",0,0.0895833333333333
"130","1/2/2007","02:09:00","0.322","0.128","243.080","1.400","0.000","0.000",0,0.0902777777777778
"131","1/2/2007","02:10:00","0.322","0.130","243.280","1.400","0.000","0.000",0,0.0909722222222222
"132","1/2/2007","02:11:00","0.242","0.000","243.520","1.000","0.000","0.000",0,0.0916666666666667
"133","1/2/2007","02:12:00","0.228","0.000","244.090","1.000","0.000","0.000",0,0.0923611111111111
"134","1/2/2007","02:13:00","0.228","0.000","244.020","1.000","0.000","0.000",0,0.0930555555555556
"135","1/2/2007","02:14:00","0.228","0.000","244.020","1.000","0.000","0.000",0,0.09375
"136","1/2/2007","02:15:00","0.226","0.000","243.250","1.000","0.000","0.000",0,0.0944444444444444
"137","1/2/2007","02:16:00","0.226","0.000","243.060","1.000","0.000","0.000",0,0.0951388888888889
"138","1/2/2007","02:17:00","0.228","0.000","243.380","1.000","0.000","0.000",0,0.0958333333333333
"139","1/2/2007","02:18:00","0.228","0.000","243.910","1.000","0.000","0.000",0,0.0965277777777778
"140","1/2/2007","02:19:00","0.228","0.000","243.930","1.000","0.000","0.000",0,0.0972222222222222
"141","1/2/2007","02:20:00","0.228","0.000","243.550","1.000","0.000","0.000",0,0.0979166666666667
"142","1/2/2007","02:21:00","0.228","0.000","243.450","1.000","0.000","0.000",0,0.0986111111111111
"143","1/2/2007","02:22:00","0.226","0.000","242.420","1.000","0.000","0.000",0,0.0993055555555555
"144","1/2/2007","02:23:00","0.226","0.000","243.140","1.000","0.000","0.000",0,0.1
"145","1/2/2007","02:24:00","0.228","0.000","243.370","1.000","0.000","0.000",0,0.100694444444444
"146","1/2/2007","02:25:00","0.228","0.000","243.530","1.000","0.000","0.000",0,0.101388888888889
"147","1/2/2007","02:26:00","0.226","0.000","243.220","1.000","0.000","0.000",0,0.102083333333333
"148","1/2/2007","02:27:00","0.228","0.000","243.570","1.000","0.000","0.000",0,0.102777777777778
"149","1/2/2007","02:28:00","0.228","0.000","243.760","1.000","0.000","0.000",0,0.103472222222222
"150","1/2/2007","02:29:00","0.226","0.000","243.360","1.000","0.000","0.000",0,0.104166666666667
"151","1/2/2007","02:30:00","0.226","0.000","243.170","1.000","0.000","0.000",0,0.104861111111111
"152","1/2/2007","02:31:00","0.228","0.000","243.580","1.000","0.000","0.000",0,0.105555555555556
"153","1/2/2007","02:32:00","0.228","0.000","244.100","1.000","0.000","0.000",0,0.10625
"154","1/2/2007","02:33:00","0.230","0.000","244.550","1.000","0.000","0.000",0,0.106944444444444
"155","1/2/2007","02:34:00","0.230","0.000","244.980","1.000","0.000","0.000",0,0.107638888888889
"156","1/2/2007","02:35:00","0.228","0.000","244.360","1.000","0.000","0.000",0,0.108333333333333
"157","1/2/2007","02:36:00","0.292","0.060","244.420","1.400","0.000","0.000",0,0.109027777777778
"158","1/2/2007","02:37:00","0.388","0.190","243.850","1.800","0.000","0.000",0,0.109722222222222
"159","1/2/2007","02:38:00","0.416","0.238","243.830","2.000","0.000","0.000",0,0.110416666666667
"160","1/2/2007","02:39:00","0.416","0.244","243.730","2.000","0.000","0.000",0,0.111111111111111
"161","1/2/2007","02:40:00","0.436","0.276","244.660","2.000","0.000","0.000",0,0.111805555555556
"162","1/2/2007","02:41:00","0.436","0.280","245.020","2.000","0.000","0.000",0,0.1125
"163","1/2/2007","02:42:00","0.432","0.280","245.060","2.000","0.000","0.000",0,0.113194444444444
"164","1/2/2007","02:43:00","0.426","0.272","244.040","2.000","0.000","0.000",0,0.113888888888889
"165","1/2/2007","02:44:00","0.424","0.270","243.580","2.000","0.000","0.000",0,0.114583333333333
"166","1/2/2007","02:45:00","0.420","0.268","243.420","2.000","0.000","0.000",0,0.115277777777778
"167","1/2/2007","02:46:00","0.350","0.160","243.190","1.600","0.000","0.000",0,0.115972222222222
"168","1/2/2007","02:47:00","0.350","0.164","243.900","1.600","0.000","0.000",0,0.116666666666667
"169","1/2/2007","02:48:00","0.348","0.162","243.600","1.600","0.000","0.000",0,0.117361111111111
"170","1/2/2007","02:49:00","0.346","0.160","243.040","1.600","0.000","0.000",0,0.118055555555556
"171","1/2/2007","02:50:00","0.346","0.162","243.440","1.600","0.000","0.000",0,0.11875
"172","1/2/2007","02:51:00","0.346","0.162","243.350","1.600","0.000","0.000",0,0.119444444444444
"173","1/2/2007","02:52:00","0.256","0.000","243.340","1.000","0.000","0.000",0,0.120138888888889
"174","1/2/2007","02:53:00","0.252","0.000","243.210","1.000","0.000","0.000",0,0.120833333333333
"175","1/2/2007","02:54:00","0.252","0.000","242.960","1.000","0.000","0.000",0,0.121527777777778
"176","1/2/2007","02:55:00","0.252","0.000","243.330","1.000","0.000","0.000",0,0.122222222222222
"177","1/2/2007","02:56:00","0.252","0.000","243.160","1.000","0.000","0.000",0,0.122916666666667
"178","1/2/2007","02:57:00","0.250","0.000","242.770","1.000","0.000","0.000",0,0.123611111111111
"179","1/2/2007","02:58:00","0.252","0.000","243.360","1.000","0.000","0.000",0,0.124305555555556
"180","1/2/2007","02:59:00","0.252","0.000","243.380","1.000","0.000","0.000",0,0.125
"181","1/2/2007","03:00:00","0.252","0.000","243.500","1.000","0.000","0.000",0,0.125694444444444
"182","1/2/2007","03:01:00","0.252","0.000","243.570","1.000","0.000","0.000",0,0.126388888888889
"183","1/2/2007","03:02:00","0.254","0.000","244.240","1.000","0.000","0.000",0,0.127083333333333
"184","1/2/2007","03:03:00","0.254","0.000","244.220","1.000","0.000","0.000",0,0.127777777777778
"185","1/2/2007","03:04:00","0.254","0.000","243.990","1.000","0.000","0.000",0,0.128472222222222
"186","1/2/2007","03:05:00","0.252","0.000","243.440","1.000","0.000","0.000",0,0.129166666666667
"187","1/2/2007","03:06:00","0.252","0.000","243.400","1.000","0.000","0.000",0,0.129861111111111
"188","1/2/2007","03:07:00","0.252","0.000","243.490","1.000","0.000","0.000",0,0.130555555555556
"189","1/2/2007","03:08:00","0.252","0.000","243.550","1.000","0.000","0.000",0,0.13125
"190","1/2/2007","03:09:00","0.252","0.000","243.190","1.000","0.000","0.000",0,0.131944444444444
"191","1/2/2007","03:10:00","0.254","0.000","243.740","1.000","0.000","0.000",0,0.132638888888889
"192","1/2/2007","03:11:00","0.254","0.000","244.110","1.000","0.000","0.000",0,0.133333333333333
"193","1/2/2007","03:12:00","0.250","0.000","242.840","1.000","0.000","0.000",0,0.134027777777778
"194","1/2/2007","03:13:00","0.250","0.000","242.810","1.000","0.000","0.000",0,0.134722222222222
"195","1/2/2007","03:14:00","0.250","0.000","242.480","1.000","0.000","0.000",0,0.135416666666667
"196","1/2/2007","03:15:00","0.250","0.000","242.500","1.000","0.000","0.000",0,0.136111111111111
"197","1/2/2007","03:16:00","0.250","0.000","242.760","1.000","0.000","0.000",0,0.136805555555556
"198","1/2/2007","03:17:00","0.250","0.000","242.920","1.000","0.000","0.000",0,0.1375
"199","1/2/2007","03:18:00","0.368","0.150","242.490","1.600","0.000","0.000",0,0.138194444444444
"200","1/2/2007","03:19:00","0.360","0.158","242.860","1.600","0.000","0.000",0,0.138888888888889
"201","1/2/2007","03:20:00","0.358","0.162","243.330","1.600","0.000","0.000",0,0.139583333333333
"202","1/2/2007","03:21:00","0.358","0.162","243.530","1.600","0.000","0.000",0,0.140277777777778
"203","1/2/2007","03:22:00","0.356","0.162","243.440","1.600","0.000","0.000",0,0.140972222222222
"204","1/2/2007","03:23:00","0.386","0.184","243.530","1.800","0.000","0.000",0,0.141666666666667
"205","1/2/2007","03:24:00","0.406","0.234","243.000","1.800","0.000","0.000",0,0.142361111111111
"206","1/2/2007","03:25:00","0.404","0.238","243.800","1.800","0.000","0.000",0,0.143055555555556
"207","1/2/2007","03:26:00","0.402","0.236","243.500","1.800","0.000","0.000",0,0.14375
"208","1/2/2007","03:27:00","0.400","0.234","243.130","1.800","0.000","0.000",0,0.144444444444444
"209","1/2/2007","03:28:00","0.400","0.234","243.340","1.800","0.000","0.000",0,0.145138888888889
"210","1/2/2007","03:29:00","0.398","0.236","243.510","1.800","0.000","0.000",0,0.145833333333333
"211","1/2/2007","03:30:00","0.396","0.238","243.860","1.800","0.000","0.000",0,0.146527777777778
"212","1/2/2007","03:31:00","0.392","0.234","243.030","1.800","0.000","0.000",0,0.147222222222222
"213","1/2/2007","03:32:00","0.346","0.166","242.990","1.600","0.000","0.000",0,0.147916666666667
"214","1/2/2007","03:33:00","0.258","0.000","243.120","1.000","0.000","0.000",0,0.148611111111111
"215","1/2/2007","03:34:00","0.224","0.000","242.060","1.000","0.000","0.000",0,0.149305555555556
"216","1/2/2007","03:35:00","0.224","0.000","241.770","1.000","0.000","0.000",0,0.15
"217","1/2/2007","03:36:00","0.226","0.000","242.340","1.000","0.000","0.000",0,0.150694444444444
"218","1/2/2007","03:37:00","0.228","0.000","243.260","1.000","0.000","0.000",0,0.151388888888889
"219","1/2/2007","03:38:00","0.228","0.000","243.710","1.000","0.000","0.000",0,0.152083333333333
"220","1/2/2007","03:39:00","0.230","0.000","244.830","1.000","0.000","0.000",0,0.152777777777778
"221","1/2/2007","03:40:00","0.230","0.000","244.690","1.000","0.000","0.000",0,0.153472222222222
"222","1/2/2007","03:41:00","0.230","0.000","244.550","1.000","0.000","0.000",0,0.154166666666667
"223","1/2/2007","03:42:00","0.230","0.000","244.380","1.000","0.000","0.000",0,0.154861111111111
"224","1/2/2007","03:43:00","0.230","0.000","244.400","1.000","0.000","0.000",0,0.155555555555556
"225","1/2/2007","03:44:00","0.228","0.000","244.160","1.000","0.000","0.000",0,0.15625
"226","1/2/2007","03:45:00","0.268","0.000","244.210","1.400","0.000","0.000",0,0.156944444444444
"227","1/2/2007","03:46:00","0.312","0.120","244.130","1.400","0.000","1.000",0,0.157638888888889
"228","1/2/2007","03:47:00","0.312","0.120","244.220","1.400","0.000","1.000",0,0.158333333333333
"229","1/2/2007","03:48:00","0.312","0.118","243.960","1.400","0.000","2.000",0,0.159027777777778
"230","1/2/2007","03:49:00","0.312","0.116","243.480","1.400","0.000","1.000",0,0.159722222222222
"231","1/2/2007","03:50:00","0.312","0.118","243.840","1.400","0.000","2.000",0,0.160416666666667
"232","1/2/2007","03:51:00","0.314","0.120","243.920","1.400","0.000","1.000",0,0.161111111111111
"233","1/2/2007","03:52:00","0.314","0.122","244.500","1.400","0.000","1.000",0,0.161805555555556
"234","1/2/2007","03:53:00","0.314","0.122","244.600","1.400","0.000","2.000",0,0.1625
"235","1/2/2007","03:54:00","0.314","0.122","244.560","1.400","0.000","1.000",0,0.163194444444444
"236","1/2/2007","03:55:00","0.312","0.120","243.910","1.400","0.000","2.000",0,0.163888888888889
"237","1/2/2007","03:56:00","0.310","0.116","243.550","1.400","0.000","1.000",0,0.164583333333333
"238","1/2/2007","03:57:00","0.310","0.116","243.580","1.400","0.000","1.000",0,0.165277777777778
"239","1/2/2007","03:58:00","0.308","0.112","242.740","1.400","0.000","2.000",0,0.165972222222222
"240","1/2/2007","03:59:00","0.412","0.228","242.720","2.000","0.000","1.000",0,0.166666666666667
"241","1/2/2007","04:00:00","0.416","0.250","242.710","2.000","0.000","1.000",0,0.167361111111111
"242","1/2/2007","04:01:00","0.410","0.248","242.320","2.000","0.000","2.000",0,0.168055555555556
"243","1/2/2007","04:02:00","0.408","0.248","242.360","2.000","0.000","1.000",0,0.16875
"244","1/2/2007","04:03:00","0.406","0.246","242.120","2.000","0.000","1.000",0,0.169444444444444
"245","1/2/2007","04:04:00","0.404","0.248","242.180","2.000","0.000","2.000",0,0.170138888888889
"246","1/2/2007","04:05:00","0.402","0.248","242.220","1.800","0.000","1.000",0,0.170833333333333
"247","1/2/2007","04:06:00","0.400","0.246","241.980","1.800","0.000","1.000",0,0.171527777777778
"248","1/2/2007","04:07:00","0.398","0.246","242.090","1.800","0.000","1.000",0,0.172222222222222
"249","1/2/2007","04:08:00","0.396","0.246","241.920","1.800","0.000","1.000",0,0.172916666666667
"250","1/2/2007","04:09:00","0.396","0.250","242.610","1.800","0.000","2.000",0,0.173611111111111
"251","1/2/2007","04:10:00","0.396","0.252","242.990","1.800","0.000","1.000",0,0.174305555555556
"252","1/2/2007","04:11:00","0.432","0.280","243.060","2.200","0.000","1.000",0,0.175
"253","1/2/2007","04:12:00","0.470","0.358","242.940","2.400","0.000","1.000",0,0.175694444444444
"254","1/2/2007","04:13:00","0.428","0.296","243.070","2.200","0.000","2.000",0,0.176388888888889
"255","1/2/2007","04:14:00","0.348","0.170","242.850","1.600","0.000","0.000",0,0.177083333333333
"256","1/2/2007","04:15:00","0.304","0.094","242.730","1.200","0.000","0.000",0,0.177777777777778
"257","1/2/2007","04:16:00","0.302","0.094","242.650","1.200","0.000","0.000",0,0.178472222222222
"258","1/2/2007","04:17:00","0.302","0.096","243.080","1.200","0.000","0.000",0,0.179166666666667
"259","1/2/2007","04:18:00","0.300","0.100","243.600","1.200","0.000","0.000",0,0.179861111111111
"260","1/2/2007","04:19:00","0.298","0.096","243.050","1.200","0.000","0.000",0,0.180555555555556
"261","1/2/2007","04:20:00","0.292","0.086","243.380","1.200","0.000","0.000",0,0.18125
"262","1/2/2007","04:21:00","0.228","0.000","243.820","1.000","0.000","0.000",0,0.181944444444444
"263","1/2/2007","04:22:00","0.228","0.000","243.730","1.000","0.000","0.000",0,0.182638888888889
"264","1/2/2007","04:23:00","0.230","0.000","244.260","1.000","0.000","0.000",0,0.183333333333333
"265","1/2/2007","04:24:00","0.230","0.000","244.980","1.000","0.000","0.000",0,0.184027777777778
"266","1/2/2007","04:25:00","0.230","0.000","244.950","1.000","0.000","0.000",0,0.184722222222222
"267","1/2/2007","04:26:00","0.234","0.000","244.300","1.000","0.000","0.000",0,0.185416666666667
"268","1/2/2007","04:27:00","0.250","0.000","243.730","1.000","0.000","0.000",0,0.186111111111111
"269","1/2/2007","04:28:00","0.250","0.000","243.230","1.000","0.000","0.000",0,0.186805555555556
"270","1/2/2007","04:29:00","0.226","0.000","242.830","1.000","0.000","0.000",0,0.1875
"271","1/2/2007","04:30:00","0.226","0.000","242.750","1.000","0.000","0.000",0,0.188194444444444
"272","1/2/2007","04:31:00","0.226","0.000","243.000","1.000","0.000","0.000",0,0.188888888888889
"273","1/2/2007","04:32:00","0.228","0.000","243.300","1.000","0.000","0.000",0,0.189583333333333
"274","1/2/2007","04:33:00","0.228","0.000","243.400","1.000","0.000","0.000",0,0.190277777777778
"275","1/2/2007","04:34:00","0.226","0.000","242.690","1.000","0.000","0.000",0,0.190972222222222
"276","1/2/2007","04:35:00","0.226","0.000","242.310","1.000","0.000","0.000",0,0.191666666666667
